left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,label
0,749,579,393,253,255,112,189,395,167,0,0,0,466,454,318,243,92,79,81,149,38,0,0,0,56,225,64,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,60,0,0,0,0,7,9,0,0,0,0,292,266,3,0,0,0,0,25,0,0,0,64,194,178,20,0,0,0,0,26,0,0,0,strafe_left
0,0,9,0,0,0,0,0,0,14,0,0,0,17,81,3,0,0,0,0,45,36,0,0,0,0,118,75,12,0,0,0,173,110,0,0,0,0,63,109,9,0,0,56,1256,394,86,67,0,0,0,0,0,104,323,428,389,59,0,0,0,0,100,38,55,15,43,149,172,45,0,0,0,39,104,27,0,0,0,26,65,0,57,0,0,0,10,0,0,0,0,0,10,0,0,0,strafe_right
0,0,13,0,0,0,0,0,0,0,0,0,0,42,93,7,0,0,0,0,35,11,0,0,0,20,140,99,26,0,0,6,140,71,0,0,0,0,82,112,7,0,10,46,1103,283,50,4,0,0,28,74,101,169,377,423,362,47,0,0,0,137,307,169,139,50,62,139,127,6,0,0,0,231,243,95,0,0,0,21,38,0,0,0,0,34,69,0,0,0,0,0,0,0,0,0,strafe_right
0,90,152,0,0,0,0,0,0,0,0,0,0,432,346,96,0,0,0,0,48,0,0,0,0,410,384,179,8,0,0,0,81,0,0,0,0,72,166,83,0,0,0,18,526,62,0,0,0,0,124,82,37,55,149,162,155,0,0,0,0,453,574,256,114,0,9,86,46,0,0,0,16,656,448,128,0,0,0,12,0,0,0,0,0,354,237,0,0,0,0,0,0,0,0,0,strafe_right
0,0,35,0,0,0,0,0,0,0,0,0,0,83,132,8,0,0,0,0,24,0,0,0,0,49,185,121,21,0,0,0,102,41,0,0,0,0,131,118,11,0,0,44,945,197,32,21,0,0,42,88,109,159,343,378,331,44,0,0,0,158,386,207,161,55,57,133,142,27,0,0,0,286,302,121,15,0,0,21,54,0,0,0,0,78,113,0,0,0,0,0,0,0,0,0,strafe_right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,17,0,0,0,0,0,78,41,0,0,0,0,114,57,0,0,0,0,43,60,0,0,0,43,1069,272,78,202,0,0,0,0,0,116,355,527,451,75,0,0,0,0,45,7,41,17,55,190,245,96,0,0,0,0,56,0,0,0,0,33,88,25,0,0,0,0,0,0,0,0,0,0,18,0,0,0,strafe_right
0,0,17,0,0,0,0,0,0,0,0,0,0,74,105,20,0,0,0,0,36,0,0,0,0,29,158,123,46,0,0,3,141,73,0,0,0,0,96,112,12,0,0,34,1059,242,47,81,0,0,0,27,45,142,347,403,359,56,0,0,0,82,224,125,123,51,54,149,143,34,0,0,0,186,199,76,0,0,0,18,53,0,0,0,0,19,60,0,0,0,0,0,0,0,0,0,strafe_right
0,0,9,0,0,0,0,13,94,78,0,0,0,12,74,10,0,0,0,8,83,91,0,0,0,0,134,99,55,0,0,34,276,188,0,0,0,0,20,59,0,0,0,27,953,302,49,165,0,0,0,0,0,16,141,206,272,45,0,0,0,0,44,0,9,0,0,115,186,104,0,0,0,48,100,28,0,0,0,47,114,80,29,0,0,0,34,0,0,0,0,0,20,0,0,0,forward
0,0,0,0,0,74,69,248,472,322,141,0,0,0,0,0,6,0,83,133,237,162,18,0,0,0,0,0,0,0,0,0,162,61,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,21,189,390,426,135,0,0,0,0,0,0,0,0,0,187,291,170,0,0,0,0,15,0,0,0,0,13,99,64,0,0,0,0,0,0,0,0,0,0,5,0,0,0,forward
0,0,0,0,0,0,0,65,241,129,53,86,0,0,0,0,0,0,0,109,266,296,36,116,0,0,0,0,0,0,0,0,402,339,0,0,0,0,0,0,0,0,0,70,223,296,0,739,0,0,0,0,0,0,0,88,117,43,51,53,0,0,0,0,0,0,0,114,751,278,0,0,0,0,0,0,0,0,0,4,228,92,151,76,0,0,0,0,0,0,0,26,90,0,0,0,forward
0,0,0,0,0,25,37,88,270,129,49,0,0,0,19,16,0,32,63,160,306,319,35,0,0,0,12,0,0,0,0,56,475,362,0,0,0,0,0,0,0,0,0,69,191,190,0,0,0,0,0,0,0,0,22,213,229,83,0,0,0,0,0,0,0,0,66,167,812,321,0,0,0,0,0,0,0,0,0,52,179,78,0,0,0,0,0,0,0,0,0,39,44,0,0,0,forward
